id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,summary
1,2017,Hyderabad,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,,"the city of Hyderabad was the host for match. the match took place inside Rajiv Gandhi International Stadium, Uppal. Royal Challengers Bangalore decided to field after winning the toss. the match was won by Sunrisers Hyderabad. the team won by 35 runs. the man of the match was Yuvraj Singh. "
2,2017,Pune,2017-04-06,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,the match was played in the city of Pune. the match took place inside Maharashtra Cricket Association Stadium. the toss was won by Rising Pune Supergiant and they chose to field. the match was won by Rising Pune Supergiant. the team won with 7 wickets to spare. the man of the match was SPD Smith. 
3,2017,Rajkot,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,,the city of Rajkot was the host for match. the venue for this match was Saurashtra Cricket Association Stadium. Kolkata Knight Riders decided to field after winning the toss. the match was won by Kolkata Knight Riders. the team won with 10 wickets to spare. the man of the match was CA Lynn. 
4,2017,Indore,2017-04-08,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,,the match was played in the city of Indore. the venue for this match was Holkar Cricket Stadium. the toss was won by Kings XI Punjab and they chose to field. the match was won by Kings XI Punjab. the team won with 6 wickets to spare. the man of the match was GJ Maxwell. 
5,2017,Bangalore,2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,KM Jadhav,M Chinnaswamy Stadium,,,,the city of Bangalore was the host for match. the venue for this match was M Chinnaswamy Stadium. Royal Challengers Bangalore decided to bat after winning the toss. Royal Challengers Bangalore emerged victorious. the team won by 15 runs. the man of the match was KM Jadhav. 
6,2017,Hyderabad,2017-04-09,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,,"the city of Hyderabad was the host for match. the match took place inside Rajiv Gandhi International Stadium, Uppal. the toss was won by Sunrisers Hyderabad and they chose to field. Sunrisers Hyderabad emerged victorious. the team won with 9 wickets to spare. the man of the match was Rashid Khan. "
7,2017,Mumbai,2017-04-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,,the match was played in the city of Mumbai. the match took place inside Wankhede Stadium. Mumbai Indians decided to field after winning the toss. the match was won by Mumbai Indians. the team won with 4 wickets to spare. N Rana took home the man of the match. 
8,2017,Indore,2017-04-10,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,,the city of Indore was the host for match. the match took place inside Holkar Cricket Stadium. the toss was won by Royal Challengers Bangalore and they chose to bat. Kings XI Punjab emerged victorious. the team won with 8 wickets to spare. the man of the match was AR Patel. 
9,2017,Pune,2017-04-11,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,,the match was played in the city of Pune. the venue for this match was Maharashtra Cricket Association Stadium. Rising Pune Supergiant decided to field after winning the toss. Delhi Daredevils emerged victorious. the team won by 97 runs. SV Samson took home the man of the match. 
10,2017,Mumbai,2017-04-12,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,,the city of Mumbai was the host for match. the venue for this match was Wankhede Stadium. Mumbai Indians decided to field after winning the toss. Mumbai Indians emerged victorious. the team won with 4 wickets to spare. JJ Bumrah took home the man of the match. 
11,2017,Kolkata,2017-04-13,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,,the city of Kolkata was the host for match. the match took place inside Eden Gardens. Kolkata Knight Riders decided to field after winning the toss. the match was won by Kolkata Knight Riders. the team won with 8 wickets to spare. SP Narine took home the man of the match. 
12,2017,Bangalore,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,,the match was played in the city of Bangalore. the venue for this match was M Chinnaswamy Stadium. Mumbai Indians decided to field after winning the toss. Mumbai Indians emerged victorious. the team won with 4 wickets to spare. the man of the match was KA Pollard. 
13,2017,Rajkot,2017-04-14,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,the match was played in the city of Rajkot. the venue for this match was Saurashtra Cricket Association Stadium. the toss was won by Gujarat Lions and they chose to field. the match was won by Gujarat Lions. the team won with 7 wickets to spare. AJ Tye took home the man of the match. 
14,2017,Kolkata,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,,the match was played in the city of Kolkata. the venue for this match was Eden Gardens. the toss was won by Sunrisers Hyderabad and they chose to field. Kolkata Knight Riders emerged victorious. the team won by 17 runs. the man of the match was RV Uthappa. 
15,2017,Delhi,2017-04-15,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,,the city of Delhi was the host for match. the match took place inside Feroz Shah Kotla. Delhi Daredevils decided to bat after winning the toss. the match was won by Delhi Daredevils. the team won by 51 runs. CJ Anderson took home the man of the match. 
16,2017,Mumbai,2017-04-16,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,,the city of Mumbai was the host for match. the venue for this match was Wankhede Stadium. Mumbai Indians decided to field after winning the toss. Mumbai Indians emerged victorious. the team won with 6 wickets to spare. the man of the match was N Rana. 
17,2017,Bangalore,2017-04-16,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,,the match was played in the city of Bangalore. the match took place inside M Chinnaswamy Stadium. the toss was won by Royal Challengers Bangalore and they chose to field. the match was won by Rising Pune Supergiant. the team won by 27 runs. BA Stokes took home the man of the match. 
